
Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	Spk	1sts	2nds	DS
Smart is just an Adjective to descr	3rd	Closing Government	Jaed BengzonⒸ
CW AE	4th	Closing Opposition	Jaed BengzonⒸ
Tung tung sahur	2nd	Opening Government	NayantaraⒸ
U 16	4th	Opening Opposition	NayantaraⒸ
Big babies	1st	Closing Government	NayantaraⒸ
GDP 2	3rd	Closing Opposition	NayantaraⒸ
SUFE C	3rd	Opening Government	Daniel Christopher HaducaⒸ
Mario flower	1st	Opening Opposition	Daniel Christopher HaducaⒸ
CW SC	2nd	Closing Government	Daniel Christopher HaducaⒸ
Talk That Sheet	4th	Closing Opposition	Daniel Christopher HaducaⒸ
Nova MT	1st	Opening Government	Jordyn GibsonⒸ , Kyle Louis Ramos
Schrodingers arguments	2nd	Opening Opposition	Jordyn GibsonⒸ , Kyle Louis Ramos
CW AB	3rd	Closing Government	Jordyn GibsonⒸ , Kyle Louis Ramos
Charli XCX? We are Careless XXX	4th	Closing Opposition	Jordyn GibsonⒸ , Kyle Louis Ramos
GMUK C	4th	Opening Opposition	Garrett LiⒸ
LOZO IDK	2nd	Closing Government	Garrett LiⒸ
Nova 4AM	1st	Closing Opposition	Garrett LiⒸ
Charlie Bucket	3rd	Opening Government	Garrett LiⒸ
RSG Silver	2nd	Opening Government	Prashasti SaxenaⒸ
very mindful, very demure	1st	Opening Opposition	Prashasti SaxenaⒸ
ILoVetEamChina	3rd	Closing Government	Prashasti SaxenaⒸ
PLKC B	4th	Closing Opposition	Prashasti SaxenaⒸ
Silver Fainted	3rd	Opening Government	Jonathan TuliaoⒸ
SUFE A	2nd	Opening Opposition	Jonathan TuliaoⒸ
RSG Emerald	4th	Closing Government	Jonathan TuliaoⒸ
Capstone AJ	1st	Closing Opposition	Jonathan TuliaoⒸ
Socratic Sparks	4th	Opening Government	Xandy Sophia ArmamentoⒸ
DeepSick	3rd	Opening Opposition	Xandy Sophia ArmamentoⒸ
Iphone SE	1st	Closing Government	Xandy Sophia ArmamentoⒸ
Nova Shrimp Tempura	2nd	Closing Opposition	Xandy Sophia ArmamentoⒸ
PLKC A	2nd	Opening Government	Mezen LababidiⒸ
Jellycat lovers	3rd	Opening Opposition	Mezen LababidiⒸ
Exons	4th	Closing Government	Mezen LababidiⒸ
CW ME	1st	Closing Opposition	Mezen LababidiⒸ
CW JI	2nd	Opening Government	George ChenⒸ
Whatever	4th	Opening Opposition	George ChenⒸ
Hallabong 2	3rd	Closing Government	George ChenⒸ
CW YM	1st	Closing Opposition	George ChenⒸ
McFlurry	4th	Opening Government	Ngô Minh Kiên JackⒸ
Madam Chair, the Global Poor	2nd	Opening Opposition	Ngô Minh Kiên JackⒸ
Gambetto	3rd	Closing Government	Ngô Minh Kiên JackⒸ
Mmmmm, K	1st	Closing Opposition	Ngô Minh Kiên JackⒸ
Love and Kindness to Humanity	3rd	Opening Government	Christopher ChuaⒸ
LOZO JAYJAY	2nd	Opening Opposition	Christopher ChuaⒸ
RSG Sapphire	1st	Closing Government	Christopher ChuaⒸ
Better Up！！！	4th	Closing Opposition	Christopher ChuaⒸ
Name Pending（Please Hold）	1st	Opening Government	Ben BensaliⒸ
Chocolate taco	2nd	Opening Opposition	Ben BensaliⒸ
Abnormal	4th	Closing Government	Ben BensaliⒸ
The Underdogs	3rd	Closing Opposition	Ben BensaliⒸ
CW RC	4th	Opening Government	Bea LegaspiⒸ
CW TP	2nd	Opening Opposition	Bea LegaspiⒸ
CW MG	1st	Closing Opposition	Bea LegaspiⒸ
Xiao Bai	3rd	Closing Government	Bea LegaspiⒸ
Shanghai Oreo	1st	Opening Government	Judy JIⒸ , Vu Duc Hung Allen
CW LL	2nd	Opening Opposition	Judy JIⒸ , Vu Duc Hung Allen
We Don&#x27;t Like Snares	4th	Closing Government	Judy JIⒸ , Vu Duc Hung Allen
CW CS	3rd	Closing Opposition	Judy JIⒸ , Vu Duc Hung Allen
Tough Love	3rd	Opening Government	Jing Yu MaⒸ
LnR	4th	Opening Opposition	Jing Yu MaⒸ
RSG Red	1st	Closing Government	Jing Yu MaⒸ
DKU Orbis linguam	2nd	Closing Opposition	Jing Yu MaⒸ
RSG Diamond	3rd	Opening Government	AlikhanⒸ
Mocha Chocolate	1st	Closing Government	AlikhanⒸ
JH	2nd	Opening Opposition	AlikhanⒸ
Hdkwodndi	4th	Closing Opposition	AlikhanⒸ
Cocacola	4th	Opening Government	Maeca PansensoyⒸ
SUFE B	2nd	Opening Opposition	Maeca PansensoyⒸ
Nova Basketboy	3rd	Closing Government	Maeca PansensoyⒸ
Mr Hobo	1st	Closing Opposition	Maeca PansensoyⒸ
Cutsies Fruties	2nd	Opening Government	Lia TanⒸ
Two Little Rizzlers	1st	Closing Opposition	Lia TanⒸ
MUST B	3rd	Opening Opposition	Lia TanⒸ
LOZO - Trying to remember what we l	4th	Closing Government	Lia TanⒸ
CW EK	1st	Opening Government	Aliyah HerlihyⒸ
FDU A	2nd	Opening Opposition	Aliyah HerlihyⒸ
SUFE Encounter	3rd	Closing Government	Aliyah HerlihyⒸ
Eighteen	4th	Closing Opposition	Aliyah HerlihyⒸ
MUST C	3rd	Opening Government	Louise WeeⒸ
GMUK B	4th	Opening Opposition	Louise WeeⒸ
guava	1st	Closing Government	Louise WeeⒸ
Swing 250	2nd	Closing Opposition	Louise WeeⒸ
Bluestone	2nd	Opening Government	Matcha CualⒸ
VADP LN	4th	Closing Opposition	Matcha CualⒸ
This is a wug	3rd	Opening Opposition	Matcha CualⒸ
GDP 1	1st	Closing Government	Matcha CualⒸ
VADP Double2Tam	2nd	Closing Opposition	Miro FortunaⒸ
GMUK A	4th	Opening Government	Miro FortunaⒸ
RSG Gold	1st	Opening Opposition	Miro FortunaⒸ
Nova Cannot Eat Wine	3rd	Closing Government	Miro FortunaⒸ


team	result	side	adjudicators
We Don&#x27;t Like Snares	3rd	Opening Government	KavisshnuⒸ
Nova 4AM	4th	Opening Opposition	KavisshnuⒸ
CW RC	1st	Closing Government	KavisshnuⒸ
LOZO - Wait Please No	2nd	Closing Opposition	KavisshnuⒸ
Patina	4th	Opening Government	Umar FazlanⒸ
Mchua A	1st	Opening Opposition	Umar FazlanⒸ
Nova Composites 50% of this team	3rd	Closing Government	Umar FazlanⒸ
Xiao Bai	2nd	Closing Opposition	Umar FazlanⒸ
Hallabong 2	2nd	Opening Government	Matcha CualⒸ
PLKC A	1st	Opening Opposition	Matcha CualⒸ
LOZO JAYJAY	3rd	Closing Government	Matcha CualⒸ
Oriental Alchemists	4th	Closing Opposition	Matcha CualⒸ
U 16	3rd	Opening Government	Francis VendiolaⒸ
LOZO - Too busy to reply when Coach	4th	Opening Opposition	Francis VendiolaⒸ
Blue Sky Kindergarten	1st	Closing Government	Francis VendiolaⒸ
GMUK C	2nd	Closing Opposition	Francis VendiolaⒸ
CW MG	3rd	Opening Government	Luigi AlcañesesⒸ
Team Africa	2nd	Opening Opposition	Luigi AlcañesesⒸ
Schrodingers arguments	4th	Closing Government	Luigi AlcañesesⒸ
Team Australia	1st	Closing Opposition	Luigi AlcañesesⒸ
DKU Chipakam	2nd	Opening Government	Jing Yu MaⒸ
XxNoHacksJustBossxX	1st	Opening Opposition	Jing Yu MaⒸ
Nova Calamari	3rd	Closing Government	Jing Yu MaⒸ
SUFE C	4th	Closing Opposition	Jing Yu MaⒸ
LOZO - Trying to remember what we l	1st	Opening Government	Aliyah HerlihyⒸ
Nova A Leg Splitting Frog	3rd	Opening Opposition	Aliyah HerlihyⒸ
GMUK A	2nd	Closing Government	Aliyah HerlihyⒸ
Swing A	4th	Closing Opposition	Aliyah HerlihyⒸ
Autumn Girls	2nd	Opening Opposition	Christopher ChuaⒸ
SUFE B	3rd	Opening Government	Christopher ChuaⒸ
Ethan Gao	4th	Closing Government	Christopher ChuaⒸ
Chocolate taco	1st	Closing Opposition	Christopher ChuaⒸ
We don’t have a 1st speaker	1st	Opening Government	Ngô Minh Kiên JackⒸ
RSG Emerald	2nd	Opening Opposition	Ngô Minh Kiên JackⒸ
PLKC B	3rd	Closing Government	Ngô Minh Kiên JackⒸ
I Killed My Duolingo	4th	Closing Opposition	Ngô Minh Kiên JackⒸ
CW AE	1st	Opening Government	Daniel Christopher HaducaⒸ
CW NK	2nd	Closing Government	Daniel Christopher HaducaⒸ
Abnormal	3rd	Opening Opposition	Daniel Christopher HaducaⒸ
Swing B	4th	Closing Opposition	Daniel Christopher HaducaⒸ
Eighteen	2nd	Opening Government	Kyle Louis RamosⒸ
Lex Ultima	4th	Opening Opposition	Kyle Louis RamosⒸ
Hdkwodndi	3rd	Closing Government	Kyle Louis RamosⒸ
McFlurry	1st	Closing Opposition	Kyle Louis RamosⒸ
CW CS	1st	Opening Government	Sharun NikeshⒸ
B&amp;I	3rd	Opening Opposition	Sharun NikeshⒸ
XxNoBossJustHacksxX	2nd	Closing Government	Sharun NikeshⒸ
LOZO - I’ll ask Charlotte	4th	Closing Opposition	Sharun NikeshⒸ
SUFE A	1st	Opening Government	Prashasti SaxenaⒸ , Vu Duc Hung Allen
CW ME	3rd	Opening Opposition	Prashasti SaxenaⒸ , Vu Duc Hung Allen
strawberry	2nd	Closing Government	Prashasti SaxenaⒸ , Vu Duc Hung Allen
Mario flower	4th	Closing Opposition	Prashasti SaxenaⒸ , Vu Duc Hung Allen
CW SC	3rd	Opening Government	Bea LegaspiⒸ
RSG Silver	4th	Opening Opposition	Bea LegaspiⒸ
CW JH	2nd	Closing Government	Bea LegaspiⒸ
CW AB	1st	Closing Opposition	Bea LegaspiⒸ
DKU Deep Fried Oreos	4th	Opening Government	Lia TanⒸ
Better Up！！！	3rd	Closing Government	Lia TanⒸ
Madam Chair, the Global Poor	1st	Closing Opposition	Lia TanⒸ
Exons	2nd	Opening Opposition	Lia TanⒸ
MUST D	4th	Opening Government	Maeca PansensoyⒸ
Smart is just an Adjective to descr	1st	Opening Opposition	Maeca PansensoyⒸ
Enemies to partners	2nd	Closing Government	Maeca PansensoyⒸ
Jellycat lovers	3rd	Closing Opposition	Maeca PansensoyⒸ
guava	1st	Opening Opposition	Jordyn GibsonⒸ
Titan	4th	Closing Government	Jordyn GibsonⒸ
RSG Gold	2nd	Closing Opposition	Jordyn GibsonⒸ
Nova Basketboy	3rd	Opening Government	Jordyn GibsonⒸ
One moment	4th	Opening Government	Kenji TateⒸ , Xandy Sophia Armamento
CW TG	3rd	Opening Opposition	Kenji TateⒸ , Xandy Sophia Armamento
CW JI	2nd	Closing Government	Kenji TateⒸ , Xandy Sophia Armamento
We&#x27;re not invited	1st	Closing Opposition	Kenji TateⒸ , Xandy Sophia Armamento
SUFE Encounter	2nd	Opening Government	Daniella BarbacenaⒸ
DKUAE	3rd	Opening Opposition	Daniella BarbacenaⒸ
MUST C	4th	Closing Government	Daniella BarbacenaⒸ
RSG Diamond	1st	Closing Opposition	Daniella BarbacenaⒸ
CityUHK A	3rd	Opening Government	Jaed BengzonⒸ
Motion Sickness	4th	Opening Opposition	Jaed BengzonⒸ
Charli XCX? We are Careless XXX	2nd	Closing Government	Jaed BengzonⒸ
CW AC	1st	Closing Opposition	Jaed BengzonⒸ
VADP HDPA	2nd	Closing Government	George ChenⒸ
GDP 2	4th	Opening Opposition	George ChenⒸ
Tung tung sahur	1st	Closing Opposition	George ChenⒸ
Mocha Chocolate	3rd	Opening Government	George ChenⒸ
Two Little Rizzlers	4th	Opening Government	Kyle GoⒸ
Silver Fainted	2nd	Opening Opposition	Kyle GoⒸ
DKU Waiguo Girls	3rd	Closing Government	Kyle GoⒸ
This is a wug	1st	Closing Opposition	Kyle GoⒸ
Cocacola	4th	Closing Opposition	Adel Mostaque AhmedⒸ
JH	3rd	Opening Government	Adel Mostaque AhmedⒸ
FDU A	1st	Closing Government	Adel Mostaque AhmedⒸ
VADP LN	2nd	Opening Opposition	Adel Mostaque AhmedⒸ
Tough Love	1st	Closing Opposition	NayantaraⒸ
Talk That Sheet	3rd	Closing Government	NayantaraⒸ
CW LW	4th	Opening Opposition	NayantaraⒸ
Time is ticking！！！	2nd	Opening Government	NayantaraⒸ
CW YM	3rd	Opening Government	Park YoungwooⒸ , Garrett Li
Nova MT	2nd	Opening Opposition	Park YoungwooⒸ , Garrett Li
Shanghai Oreo	1st	Closing Government	Park YoungwooⒸ , Garrett Li
Carelle	4th	Closing Opposition	Park YoungwooⒸ , Garrett Li
Whatever	3rd	Opening Government	Liam OldreyⒸ
CW JR	2nd	Opening Opposition	Liam OldreyⒸ
CW EK	1st	Closing Government	Liam OldreyⒸ
Love and Kindness to Humanity	4th	Closing Opposition	Liam OldreyⒸ
Swing 250	2nd	Opening Government	Miro FortunaⒸ
DKU are you sober?	1st	Closing Government	Miro FortunaⒸ
Big Macs	4th	Closing Opposition	Miro FortunaⒸ
Nova Shrimp Tempura	3rd	Opening Opposition	Miro FortunaⒸ
CW LL	1st	Opening Government	Asif Mehedi AdiⒸ
Name Pending（Please Hold）	2nd	Opening Opposition	Asif Mehedi AdiⒸ
Capstone AJ	3rd	Closing Government	Asif Mehedi AdiⒸ
CW TP	4th	Closing Opposition	Asif Mehedi AdiⒸ
Mr Hobo	1st	Opening Government	Judy JIⒸ , Ian Qiu
CW AI	3rd	Opening Opposition	Judy JIⒸ , Ian Qiu
CW KH	2nd	Closing Government	Judy JIⒸ , Ian Qiu
GDP 1	4th	Closing Opposition	Judy JIⒸ , Ian Qiu
GMUK B	3rd	Opening Government	Cj SalayoⒸ
Two unprofessional dancers	2nd	Opening Opposition	Cj SalayoⒸ
November Rain	1st	Closing Government	Cj SalayoⒸ
Charlie Bucket	4th	Closing Opposition	Cj SalayoⒸ
MUST A	1st	Opening Government	Ben BensaliⒸ
Tung-Oh Go Away!	2nd	Closing Government	Ben BensaliⒸ
RSG Red	3rd	Closing Opposition	Ben BensaliⒸ
Bluestone	4th	Opening Opposition	Ben BensaliⒸ
CW EM	2nd	Closing Government	Louise WeeⒸ
MUST B	3rd	Closing Opposition	Louise WeeⒸ
DeepSick	1st	Opening Government	Louise WeeⒸ
Gambetto	4th	Opening Opposition	Louise WeeⒸ
Agile Minds	3rd	Opening Government	AlikhanⒸ
LnR	1st	Closing Government	AlikhanⒸ
Nova Cannot Eat Wine	4th	Closing Opposition	AlikhanⒸ
Lawful Troublemakers	2nd	Opening Opposition	AlikhanⒸ
CW BV	1st	Opening Government	Jonathan TuliaoⒸ
Everlasting Passion	3rd	Closing Government	Jonathan TuliaoⒸ
very mindful, very demure	2nd	Closing Opposition	Jonathan TuliaoⒸ
Big babies	4th	Opening Opposition	Jonathan TuliaoⒸ
CW JB	2nd	Opening Government	Gabrielle PacañoⒸ
Mmmmm, K	1st	Opening Opposition	Gabrielle PacañoⒸ
Call It	4th	Closing Opposition	Gabrielle PacañoⒸ
The Underdogs	3rd	Closing Government	Gabrielle PacañoⒸ
ILoVetEamChina	4th	Opening Government	Neackle MempinⒸ
Hallabong 1	3rd	Opening Opposition	Neackle MempinⒸ
DKU Orbis linguam	2nd	Closing Government	Neackle MempinⒸ
Iphone SE	1st	Closing Opposition	Neackle MempinⒸ
CW MO	4th	Opening Government	Mezen LababidiⒸ
CW CK	2nd	Opening Opposition	Mezen LababidiⒸ
Starberry	3rd	Closing Government	Mezen LababidiⒸ
RSG Sapphire	1st	Closing Opposition	Mezen LababidiⒸ
shella	4th	Closing Opposition	Ken SingsonⒸ
LOZO IDK	3rd	Opening Opposition	Ken SingsonⒸ
VADP Double2Tam	2nd	Opening Government	Ken SingsonⒸ
CW LJ	1st	Closing Government	Ken SingsonⒸ


team	result	side	adjudicators
Talk That Sheet	3rd	Opening Government	Gabrielle PacañoⒸ
McFlurry	1st	Opening Opposition	Gabrielle PacañoⒸ
JH	2nd	Closing Government	Gabrielle PacañoⒸ
SUFE Encounter	4th	Closing Opposition	Gabrielle PacañoⒸ
Call It	2nd	Opening Government	Mezen LababidiⒸ
Love and Kindness to Humanity	1st	Opening Opposition	Mezen LababidiⒸ
Two unprofessional dancers	3rd	Closing Government	Mezen LababidiⒸ
Abnormal	4th	Closing Opposition	Mezen LababidiⒸ
Xiao Bai	2nd	Opening Government	Vinodhan KuppusamyⒸ
MUST A	4th	Opening Opposition	Vinodhan KuppusamyⒸ
Name Pending（Please Hold）	3rd	Closing Government	Vinodhan KuppusamyⒸ
Mchua A	1st	Closing Opposition	Vinodhan KuppusamyⒸ
strawberry	2nd	Opening Government	Park YoungwooⒸ , Cj Salayo
CW AC	3rd	Opening Opposition	Park YoungwooⒸ , Cj Salayo
PLKC A	4th	Closing Government	Park YoungwooⒸ , Cj Salayo
Team Africa	1st	Closing Opposition	Park YoungwooⒸ , Cj Salayo
I Killed My Duolingo	1st	Opening Government	Lia TanⒸ
Big Macs	3rd	Opening Opposition	Lia TanⒸ
Agile Minds	4th	Closing Government	Lia TanⒸ
GMUK C	2nd	Closing Opposition	Lia TanⒸ
CW ME	3rd	Opening Government	Sharun NikeshⒸ
CW RC	2nd	Opening Opposition	Sharun NikeshⒸ
One moment	4th	Closing Government	Sharun NikeshⒸ
CW JH	1st	Closing Opposition	Sharun NikeshⒸ
Nova A Leg Splitting Frog	1st	Opening Government	Louise WeeⒸ
Cocacola	2nd	Closing Government	Louise WeeⒸ
DKUAE	3rd	Closing Opposition	Louise WeeⒸ
Swing B	4th	Opening Opposition	Louise WeeⒸ
Gambetto	4th	Opening Government	Aliyah HerlihyⒸ
shella	3rd	Opening Opposition	Aliyah HerlihyⒸ
Lex Ultima	2nd	Closing Government	Aliyah HerlihyⒸ
LOZO - Too busy to reply when Coach	1st	Closing Opposition	Aliyah HerlihyⒸ
Smart is just an Adjective to descr	1st	Opening Government	Matcha CualⒸ , Alikhan
Tung tung sahur	3rd	Opening Opposition	Matcha CualⒸ , Alikhan
Starberry	4th	Closing Government	Matcha CualⒸ , Alikhan
Everlasting Passion	2nd	Closing Opposition	Matcha CualⒸ , Alikhan
Nova 4AM	2nd	Opening Government	Miro FortunaⒸ
Titan	4th	Opening Opposition	Miro FortunaⒸ
MUST B	1st	Closing Government	Miro FortunaⒸ
LOZO - Trying to remember what we l	3rd	Closing Opposition	Miro FortunaⒸ
CW AB	2nd	Opening Government	Asif Mehedi AdiⒸ
SUFE A	3rd	Opening Opposition	Asif Mehedi AdiⒸ
Chocolate taco	4th	Closing Government	Asif Mehedi AdiⒸ
CW KH	1st	Closing Opposition	Asif Mehedi AdiⒸ
CW JR	3rd	Closing Government	Prashasti SaxenaⒸ
Silver Fainted	1st	Closing Opposition	Prashasti SaxenaⒸ
Schrodingers arguments	2nd	Opening Government	Prashasti SaxenaⒸ
DKU Orbis linguam	4th	Opening Opposition	Prashasti SaxenaⒸ
DKU Waiguo Girls	4th	Opening Government	Xandy Sophia ArmamentoⒸ
SUFE C	2nd	Opening Opposition	Xandy Sophia ArmamentoⒸ
RSG Diamond	3rd	Closing Government	Xandy Sophia ArmamentoⒸ
Bluestone	1st	Closing Opposition	Xandy Sophia ArmamentoⒸ
This is a wug	3rd	Opening Government	Umar FazlanⒸ , Vu Duc Hung Allen
Capstone AJ	1st	Opening Opposition	Umar FazlanⒸ , Vu Duc Hung Allen
Carelle	2nd	Closing Government	Umar FazlanⒸ , Vu Duc Hung Allen
XxNoHacksJustBossxX	4th	Closing Opposition	Umar FazlanⒸ , Vu Duc Hung Allen
guava	3rd	Opening Government	Jonathan TuliaoⒸ
Iphone SE	1st	Opening Opposition	Jonathan TuliaoⒸ
Tung-Oh Go Away!	4th	Closing Government	Jonathan TuliaoⒸ
Hallabong 2	2nd	Closing Opposition	Jonathan TuliaoⒸ
CW TP	3rd	Opening Government	KavisshnuⒸ
CW SC	2nd	Opening Opposition	KavisshnuⒸ
Mario flower	1st	Closing Government	KavisshnuⒸ
DKU Chipakam	4th	Closing Opposition	KavisshnuⒸ
very mindful, very demure	4th	Opening Government	Maeca PansensoyⒸ
CW JI	3rd	Opening Opposition	Maeca PansensoyⒸ
CW CS	2nd	Closing Government	Maeca PansensoyⒸ
CW TG	1st	Closing Opposition	Maeca PansensoyⒸ
CW LW	2nd	Opening Government	Ngô Minh Kiên JackⒸ
GMUK A	1st	Opening Opposition	Ngô Minh Kiên JackⒸ
U 16	4th	Closing Government	Ngô Minh Kiên JackⒸ
DKU Deep Fried Oreos	3rd	Closing Opposition	Ngô Minh Kiên JackⒸ
PLKC B	4th	Opening Government	Kyle Louis RamosⒸ
CW EM	2nd	Opening Opposition	Kyle Louis RamosⒸ
Nova Shrimp Tempura	1st	Closing Government	Kyle Louis RamosⒸ
ILoVetEamChina	3rd	Closing Opposition	Kyle Louis RamosⒸ
Autumn Girls	4th	Opening Government	Kyle GoⒸ
CW AE	2nd	Closing Government	Kyle GoⒸ
CW LJ	3rd	Closing Opposition	Kyle GoⒸ
Charli XCX? We are Careless XXX	1st	Opening Opposition	Kyle GoⒸ
Eighteen	4th	Opening Government	Garrett LiⒸ
Nova Cannot Eat Wine	1st	Opening Opposition	Garrett LiⒸ
GDP 2	3rd	Closing Government	Garrett LiⒸ
Cutsies Fruties	2nd	Closing Opposition	Garrett LiⒸ
November Rain	3rd	Opening Opposition	Daniella BarbacenaⒸ
B&amp;I	2nd	Closing Government	Daniella BarbacenaⒸ
RSG Silver	1st	Closing Opposition	Daniella BarbacenaⒸ
Nova Calamari	4th	Opening Government	Daniella BarbacenaⒸ
Mocha Chocolate	4th	Opening Opposition	Francis VendiolaⒸ
VADP LN	1st	Closing Government	Francis VendiolaⒸ
Whatever	2nd	Closing Opposition	Francis VendiolaⒸ
LnR	3rd	Opening Government	Francis VendiolaⒸ
LOZO JAYJAY	1st	Opening Government	Judy JIⒸ
We don’t have a 1st speaker	3rd	Closing Opposition	Judy JIⒸ
LOZO - Wait Please No	2nd	Opening Opposition	Judy JIⒸ
Tough Love	4th	Closing Government	Judy JIⒸ
The Underdogs	3rd	Opening Government	NayantaraⒸ , Ken Singson
Oriental Alchemists	1st	Opening Opposition	NayantaraⒸ , Ken Singson
Lawful Troublemakers	4th	Closing Government	NayantaraⒸ , Ken Singson
CW NK	2nd	Closing Opposition	NayantaraⒸ , Ken Singson
Jellycat lovers	1st	Opening Government	Jing Yu MaⒸ
Nova Basketboy	2nd	Opening Opposition	Jing Yu MaⒸ
We Don&#x27;t Like Snares	3rd	Closing Opposition	Jing Yu MaⒸ
RSG Emerald	4th	Closing Government	Jing Yu MaⒸ
Swing A	4th	Opening Government	Ian QiuⒸ
MUST C	1st	Opening Opposition	Ian QiuⒸ
Charlie Bucket	2nd	Closing Government	Ian QiuⒸ
GMUK B	3rd	Closing Opposition	Ian QiuⒸ
Team Australia	1st	Opening Government	Jaed BengzonⒸ
Shanghai Oreo	3rd	Opening Opposition	Jaed BengzonⒸ
We&#x27;re not invited	2nd	Closing Government	Jaed BengzonⒸ
CW LL	4th	Closing Opposition	Jaed BengzonⒸ
RSG Sapphire	3rd	Opening Government	Luigi AlcañesesⒸ
CW BV	1st	Opening Opposition	Luigi AlcañesesⒸ
Mr Hobo	4th	Closing Government	Luigi AlcañesesⒸ
Nova MT	2nd	Closing Opposition	Luigi AlcañesesⒸ
FDU A	3rd	Opening Government	George ChenⒸ
CW JB	2nd	Opening Opposition	George ChenⒸ
CityUHK A	1st	Closing Government	George ChenⒸ
SUFE B	4th	Closing Opposition	George ChenⒸ
Hallabong 1	1st	Opening Government	Adel Mostaque AhmedⒸ
Swing 250	3rd	Opening Opposition	Adel Mostaque AhmedⒸ
CW MO	2nd	Closing Government	Adel Mostaque AhmedⒸ
Ethan Gao	4th	Closing Opposition	Adel Mostaque AhmedⒸ
RSG Gold	2nd	Opening Government	Christopher ChuaⒸ
CW EK	4th	Opening Opposition	Christopher ChuaⒸ
Mmmmm, K	1st	Closing Government	Christopher ChuaⒸ
CW AI	3rd	Closing Opposition	Christopher ChuaⒸ
LOZO IDK	4th	Opening Government	Daniel Christopher HaducaⒸ
Two Little Rizzlers	1st	Opening Opposition	Daniel Christopher HaducaⒸ
Better Up！！！	2nd	Closing Government	Daniel Christopher HaducaⒸ
MUST D	3rd	Closing Opposition	Daniel Christopher HaducaⒸ
Enemies to partners	2nd	Opening Government	Kenji TateⒸ
RSG Red	3rd	Opening Opposition	Kenji TateⒸ
Madam Chair, the Global Poor	1st	Closing Government	Kenji TateⒸ
DKU are you sober?	4th	Closing Opposition	Kenji TateⒸ
XxNoBossJustHacksxX	4th	Opening Government	Jordyn GibsonⒸ
CW MG	3rd	Opening Opposition	Jordyn GibsonⒸ
CW YM	2nd	Closing Government	Jordyn GibsonⒸ
CW CK	1st	Closing Opposition	Jordyn GibsonⒸ
Exons	1st	Opening Government	Liam OldreyⒸ
VADP Double2Tam	4th	Opening Opposition	Liam OldreyⒸ
Motion Sickness	2nd	Closing Government	Liam OldreyⒸ
Patina	3rd	Closing Opposition	Liam OldreyⒸ
GDP 1	4th	Opening Government	Neackle MempinⒸ
Nova Composites 50% of this team	1st	Opening Opposition	Neackle MempinⒸ
VADP HDPA	3rd	Closing Opposition	Neackle MempinⒸ
LOZO - I’ll ask Charlotte	2nd	Closing Government	Neackle MempinⒸ
Big babies	3rd	Opening Government	Ben BensaliⒸ
Time is ticking！！！	2nd	Opening Opposition	Ben BensaliⒸ
DeepSick	4th	Closing Government	Ben BensaliⒸ
Blue Sky Kindergarten	1st	Closing Opposition	Ben BensaliⒸ


team	result	side	adjudicators
Cutsies Fruties	3rd	Opening Opposition	Cj SalayoⒸ
Nova Cannot Eat Wine	4th	Closing Opposition	Cj SalayoⒸ
Cocacola	1st	Opening Government	Cj SalayoⒸ
VADP Double2Tam	2nd	Closing Government	Cj SalayoⒸ
Hallabong 1	4th	Opening Opposition	Jordyn GibsonⒸ
CW ME	3rd	Closing Government	Jordyn GibsonⒸ
CW AI	2nd	Closing Opposition	Jordyn GibsonⒸ
CW JB	1st	Opening Government	Jordyn GibsonⒸ
We&#x27;re not invited	3rd	Opening Government	Mezen LababidiⒸ
Team Australia	2nd	Opening Opposition	Mezen LababidiⒸ
Team Africa	1st	Closing Government	Mezen LababidiⒸ
CW BV	4th	Closing Opposition	Mezen LababidiⒸ
Swing B	3rd	Opening Government	Liam OldreyⒸ
Swing A	4th	Opening Opposition	Liam OldreyⒸ
U 16	1st	Closing Government	Liam OldreyⒸ
Gambetto	2nd	Closing Opposition	Liam OldreyⒸ
SUFE C	1st	Opening Government	Louise WeeⒸ
We Don&#x27;t Like Snares	2nd	Opening Opposition	Louise WeeⒸ
Big babies	3rd	Closing Government	Louise WeeⒸ
Tough Love	4th	Closing Opposition	Louise WeeⒸ
Madam Chair, the Global Poor	4th	Opening Government	Maeca PansensoyⒸ , Garrett Li
Mario flower	1st	Opening Opposition	Maeca PansensoyⒸ , Garrett Li
CityUHK A	3rd	Closing Government	Maeca PansensoyⒸ , Garrett Li
Xiao Bai	2nd	Closing Opposition	Maeca PansensoyⒸ , Garrett Li
Whatever	4th	Closing Government	Kyle GoⒸ
Tung-Oh Go Away!	1st	Closing Opposition	Kyle GoⒸ
CW EK	2nd	Opening Government	Kyle GoⒸ
VADP HDPA	3rd	Opening Opposition	Kyle GoⒸ
ILoVetEamChina	2nd	Opening Government	Ngô Minh Kiên JackⒸ
Talk That Sheet	4th	Opening Opposition	Ngô Minh Kiên JackⒸ
Two unprofessional dancers	1st	Closing Government	Ngô Minh Kiên JackⒸ
LOZO - Too busy to reply when Coach	3rd	Closing Opposition	Ngô Minh Kiên JackⒸ
CW AC	2nd	Opening Government	Luigi AlcañesesⒸ
Nova Composites 50% of this team	3rd	Opening Opposition	Luigi AlcañesesⒸ
Carelle	1st	Closing Government	Luigi AlcañesesⒸ
Hallabong 2	4th	Closing Opposition	Luigi AlcañesesⒸ
CW CS	4th	Opening Opposition	Ben BensaliⒸ
